period,coin,long_pnl,short_pnl,long_return_%,short_return_%
Overall,---,---,---,---,---
2025-08,AVAX/USDT,-7099.06,0.00,-717.08,0.00
2025-08,BNB/USDT,2523.23,0.00,254.87,0.00
2025-08,BTC/USDT,-2816.72,0.00,-284.52,0.00
2025-08,DOGE/USDT,-662.68,0.00,-66.94,0.00
2025-08,ETH/USDT,4194.29,0.00,423.67,0.00
2025-08,SOL/USDT,-5576.83,0.00,-563.32,0.00
2025-08,TRX/USDT,5478.52,0.00,553.39,0.00
2025-08,XRP/USDT,4185.55,0.00,422.78,0.00
2025-09,1000PEPE/USDT,0.00,0.00,0.00,0.00
2025-09,1000SHIB/USDT,0.00,0.00,0.00,0.00
2025-09,AVAX/USDT,0.00,0.00,0.00,0.00
2025-09,BNB/USDT,-1327.08,0.00,-134.05,0.00
2025-09,BTC/USDT,0.00,0.00,0.00,0.00
2025-09,DOGE/USDT,-0.77,0.00,-0.08,0.00
2025-09,ETH/USDT,4899.33,0.00,494.88,0.00
2025-09,SOL/USDT,-890.83,0.00,-89.98,0.00
2025-09,TRX/USDT,3996.38,0.00,403.67,0.00
2025-09,XRP/USDT,0.00,0.00,0.00,0.00
